Country,State,Year,Crop Category,Season,Crop Name,Area (UOM:Ha(Hectares)),Production (UOM:t(Tonnes)),Yield (UOM:Kg/Ha(KilogramperHectare))
India,Sikkim,"Agriculture Year (Jul - Jun), 2017",Foodgrains,Kharif,Coarse Cereals,40.927,70.501,1722.599
India,Puducherry,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Kharif,Coarse Cereals,0.119,0.287,2411.681
India,Rajasthan,"Agriculture Year (Jul - Jun), 2019",Oilseeds and Commercial Crops,Rabi,Groundnut,4.466,6.976,1562
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2018",Oilseeds and Commercial Crops,Rabi,Linseed,28,17.668,631
India,Telangana,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Jowar,75,90.55,1207.333
India,Tamil Nadu,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Pulses,564.66,448.27,793.876
India,Telangana,"Agriculture Year (Jul - Jun), 2018",Oilseeds and Commercial Crops,Kharif,Groundnut,13,32.552,2504
India,Punjab,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Rabi,Pulses,24.6,23,934.959
India,Uttarakhand,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Rajma,7.38,7.52,1018.97
India,Telangana,"Agriculture Year (Jul - Jun), 2016",Oilseeds and Commercial Crops,Kharif,Nigerseed,0,0,
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Rabi,Peas or  Others,416,314,754.808
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2014",Oilseeds and Commercial Crops,Kharif,Groundnut,98,84,857.143
India,Uttar Pradesh,"Agriculture Year (Jul - Jun), 2014",Oilseeds and Commercial Crops,Kharif,Soyabean,52,38,730.769
India,Telangana,"Agriculture Year (Jul - Jun), 2017",Foodgrains,Rabi,Kulthi (Horse Gram),1,0,0
India,Tripura,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Coarse Cereals,7.364,18.344,2491
India,West Bengal,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Other Pulses,1.082,0.71,656.192
India,The Dadra And Nagar Haveli And Daman And Diu,"Agriculture Year (Jul - Jun), 2018",Foodgrains,Kharif,Tur,1.52,2.029,1335
India,Tamil Nadu,"Agriculture Year (Jul - Jun), 2016",Oilseeds and Commercial Crops,,Rapeseed and Mustard,0.2,0.04,200
India,Tripura,"Agriculture Year (Jul - Jun), 2019",Foodgrains,Kharif,Other Pulses,4.158,3.303,794.372
India,Tripura,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Kharif,Other Pulses,1.4,0.946,675.714
India,Punjab,"Agriculture Year (Jul - Jun), 2018",Oilseeds and Commercial Crops,Kharif,Groundnut,1.3,2.574,1980
India,Tripura,"Agriculture Year (Jul - Jun), 2017",Foodgrains,Kharif,Other Pulses,4.507,3.272,725.982
India,West Bengal,"Agriculture Year (Jul - Jun), 2017",Foodgrains,Rabi,Foodgrains,1940.98,5963.36,3072.345
India,Punjab,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Rabi,Peas or  Others,1.7,2.2,1294.118
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Rabi,Barley,2.4,1.2,500
India,Gujarat,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Urad,2,1,500
India,Nagaland,"Agriculture Year (Jul - Jun), 2019",Foodgrains,Rabi,Maize,5.39,10.699,1985
India,Haryana,"Agriculture Year (Jul - Jun), 2018",Foodgrains,Kharif,Cereals,1917.9,5431.245,2831.871
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Coarse Cereals,221.3,214.3,968.369
India,Maharashtra,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Cereals,3850,4668.467,1212.589
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2018",Foodgrains,Kharif,Moong,8.55,4.164,487
India,Maharashtra,"Agriculture Year (Jul - Jun), 2012",Oilseeds and Commercial Crops,,Safflower,105,58,552.381
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2014",Oilseeds and Commercial Crops,Rabi,Safflower,29,21,724.138
India,Karnataka,"Agriculture Year (Jul - Jun), 2016",Oilseeds and Commercial Crops,,Cotton,510,171.7,336.667
India,Gujarat,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Rice,31,93,3000
India,Ladakh,"Agriculture Year (Jul - Jun), 2019",Oilseeds and Commercial Crops,Kharif,Oilseed,0.0931047198651023625,0.0380694854559529660,9.9555112221769585
India,Nagaland,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Rabi,Gram,0.75,0.62,826.667
India,Meghalaya,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Foodgrains,15.49,59.98,3872.176
India,Gujarat,"Agriculture Year (Jul - Jun), 2017",Oilseeds and Commercial Crops,Kharif,Soyabean,146,115.486,791
India,Kerala,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Tur,1.19,1.89,1588.235
India,Bihar,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Rabi,Coarse Cereals,435,1844.87,4241.08
India,Jammu And Kashmir,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Pulses,2.59525266540100204,2.30255499637081384,865.622135072085048092
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2019",Oilseeds and Commercial Crops,,Mesta,0.97,0.346,357
India,Jammu And Kashmir,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Cereals,595.043628890508170366,1101.426206855082033070,1805.944617916261194
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Lakh Or Khesari,308.7,176,570.133
India,Maharashtra,"Agriculture Year (Jul - Jun), 2017",Oilseeds and Commercial Crops,Rabi,Linseed,11,3.223,293
India,Himachal Pradesh,"Agriculture Year (Jul - Jun), 2019",Foodgrains,Kharif,Urad,7.017,5.122,730
India,Karnataka,"Agriculture Year (Jul - Jun), 2017",Oilseeds and Commercial Crops,Kharif,Oilseed,825,695.838,843.44
India,Gujarat,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Jowar,68,80,1176.471
India,Chhattisgarh,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Moong,9.8,4.54,463.265
India,Nagaland,"Agriculture Year (Jul - Jun), 2012",Oilseeds and Commercial Crops,Rabi,Soyabean,24.67,30.88,1251.723
India,Gujarat,"Agriculture Year (Jul - Jun), 2020",Foodgrains,Rabi,Urad,18.45,21.725,1177.53
